club,player,url
Athletic Club,Óscar de Marcos,https://en.soccerwiki.org/player.php?pid=37800
Athletic Club,Iñigo Ruiz de Galarreta,https://en.soccerwiki.org/player.php?pid=52418
Athletic Club,Iñigo Lekue,https://en.soccerwiki.org/player.php?pid=72275
Athletic Club,Iñaki Williams,https://en.soccerwiki.org/player.php?pid=72649
Athletic Club,Mikel Vesga,https://en.soccerwiki.org/player.php?pid=75056
Athletic Club,Álex Berenguer,https://en.soccerwiki.org/player.php?pid=76249
Athletic Club,Yeray Álvarez,https://en.soccerwiki.org/player.php?pid=79371
Athletic Club,Unai Simón,https://en.soccerwiki.org/player.php?pid=88444
Athletic Club,Unai Núñez,https://en.soccerwiki.org/player.php?pid=92817
Athletic Club,Gorka Guruzeta,https://en.soccerwiki.org/player.php?pid=93457
Athletic Club,Andoni Gorosabel,https://en.soccerwiki.org/player.php?pid=93717
Athletic Club,Oihan Sancet,https://en.soccerwiki.org/player.php?pid=98824
Athletic Club,Dani Vivian,https://en.soccerwiki.org/player.php?pid=104910
Athletic Club,Nico Williams,https://en.soccerwiki.org/player.php?pid=108912
Athletic Club,Julen Agirrezabala,https://en.soccerwiki.org/player.php?pid=115098
Athletic Club,Beñat Prados,https://en.soccerwiki.org/player.php?pid=118720
Athletic Club,Aitor Paredes,https://en.soccerwiki.org/player.php?pid=120954
Athletic Club,Álvaro Djaló,https://en.soccerwiki.org/player.php?pid=123938
Athletic Club,Unai Gómez,https://en.soccerwiki.org/player.php?pid=135558
Athletic Club,Adama Boiro,https://en.soccerwiki.org/player.php?pid=142808
Athletic Club,Mikel Jauregizar,https://en.soccerwiki.org/player.php?pid=143368
Athletic Club,Maroan Sannadi,https://en.soccerwiki.org/player.php?pid=150293
Atlético Madrid,César Azpilicueta,https://en.soccerwiki.org/player.php?pid=22179
Atlético Madrid,Jan Oblak,https://en.soccerwiki.org/player.php?pid=41018
Atlético Madrid,Jorge Koke,https://en.soccerwiki.org/player.php?pid=41664
Atlético Madrid,Antoine Griezmann,https://en.soccerwiki.org/player.php?pid=41780
Atlético Madrid,Thomas Lemar,https://en.soccerwiki.org/player.php?pid=63849
Atlético Madrid,Rodrigo de Paul,https://en.soccerwiki.org/player.php?pid=64586
Atlético Madrid,José María Giménez,https://en.soccerwiki.org/player.php?pid=65326
Atlético Madrid,Ángel Correa,https://en.soccerwiki.org/player.php?pid=66894
Atlético Madrid,Clément Lenglet,https://en.soccerwiki.org/player.php?pid=71971
Atlético Madrid,Alexander Sorloth,https://en.soccerwiki.org/player.php?pid=75126
Atlético Madrid,Marcos Llorente,https://en.soccerwiki.org/player.php?pid=79262
Atlético Madrid,Juan Musso,https://en.soccerwiki.org/player.php?pid=80089
Atlético Madrid,Nahuel Molina,https://en.soccerwiki.org/player.php?pid=85672
Atlético Madrid,Reinildo Mandava,https://en.soccerwiki.org/player.php?pid=87422
Atlético Madrid,Robin le Normand,https://en.soccerwiki.org/player.php?pid=93025
Atlético Madrid,Javi Galán,https://en.soccerwiki.org/player.php?pid=93720
Atlético Madrid,Julián Álvarez,https://en.soccerwiki.org/player.php?pid=99727
Atlético Madrid,Conor Gallagher,https://en.soccerwiki.org/player.php?pid=101784
Atlético Madrid,Samuel Lino,https://en.soccerwiki.org/player.php?pid=102031
Atlético Madrid,Rodrigo Riquelme,https://en.soccerwiki.org/player.php?pid=102092
Atlético Madrid,Giuliano Simeone,https://en.soccerwiki.org/player.php?pid=110769
Atlético Madrid,Pablo Barrios,https://en.soccerwiki.org/player.php?pid=120600
Barcelona,Wojciech Szczęsny,https://en.soccerwiki.org/player.php?pid=41634
Barcelona,Marc-André Ter Stegen,https://en.soccerwiki.org/player.php?pid=47215
Barcelona,Iñigo Martínez,https://en.soccerwiki.org/player.php?pid=51887
Barcelona,Andreas Christensen,https://en.soccerwiki.org/player.php?pid=69440
Barcelona,Dani Olmo,https://en.soccerwiki.org/player.php?pid=79874
Barcelona,Frenkie de Jong,https://en.soccerwiki.org/player.php?pid=82275
Barcelona,Belloli Raphinha,https://en.soccerwiki.org/player.php?pid=87870
Barcelona,Ferrán Torres,https://en.soccerwiki.org/player.php?pid=93445
Barcelona,Ronald Araújo,https://en.soccerwiki.org/player.php?pid=94977
Barcelona,Jules Koundé,https://en.soccerwiki.org/player.php?pid=95157
Barcelona,Eric García,https://en.soccerwiki.org/player.php?pid=98009
